mod	decision	link	motif	milestone	detail
farmersdelight	KEEP	farmersdelight cooked meals → economy (M-28 colony provisioning)	M-28	v0.9.0	motif M-28 | delivery: config/MineColonies (wire high-nutrition FD cooked meals as preferred colony food inputs via the colony provisioning system; colony cook hut demands hearty stews) | milestone: v0.9.0 | why "of course": colonies require food; FD's dishes are the quality rations the colony cook mass-produces; 3× ACCEPT + Opus corroboration
farmersdelight	KEEP	farmersdelight diet-system foods → survival (M-26 consumption sink, AppleSeed pressure)	M-26	v0.13.0	motif M-26 | delivery: config (FD meals cover multiple diet groups simultaneously; continuous diet-variety demand means the kitchen's output is always consumed, never zeroing) | milestone: v0.13.0 | why "of course": cooked dishes are consumed against the diet/nutrition pressure; demand for the kitchen's output never zeroes; 3× ACCEPT (1:1 mixed but Opus corroborated)
farmersdelight	CUT	farmersdelight:straw → create M-12 milling (9×)	M-12		motif M-12 | reason: straw is a cutting byproduct with no coherent Create-milled intermediate; REJECT consensus (7:2)
farmersdelight	CUT	farmersdelight:straw → create M-32 bioplastic (5×)	M-32		motif M-32 | reason: lye→bioplastic chain is thematically plausible but TFMG doesn't register a biomass→plastic recipe type accepting FD straw; no existing method to route through; 4:1 ACCEPT but the REJECT correctly notes the missing recipe type
farmersdelight	MERGE	farmersdelight cabbage/tomato/onion crops → create M-12 (2× duplicates)	M-12		into: KEEP M-12 above | reason: same milling link; these are confirmed-existing partial weaves; folded
farmersdelight	MERGE	farmersdelight cabbage/rice/tomato → colony M-28 (1×)	M-28		into: KEEP M-28 above | reason: same colony-provisioning link; folded
farmersdelight	MERGE	farmersdelight cooked meals → colony M-28 (multiple 1× with different framings)	M-28		into: KEEP M-28 above | reason: all are the same colony-provisioning link from different angles; folded
farmersdelight	MERGE	farmersdelight cooking_pot → colony M-28 hut construction (3× mixed)	M-28		into: KEEP M-28 above | reason: the colony cook hut requiring a proper FD kitchen is the same M-28 delivery; fold; the 2:1 ACCEPT/REJECT split is fine — the construction recipe aspect enriches the delivery block
farmersdelight	MERGE	farmersdelight diet demand → survival M-26 (Opus corroborated)	M-26		into: KEEP M-26 above | reason: same consumption-sink link; folded
farmersdelight	MERGE	farmersdelight seasonal crops M-16 (3×, 2×, 1× variants)	M-16		into: KEEP M-16 above | reason: all are the same Serene Seasons seasonal-gating link; folded
farmersdelight	MERGE	farmersdelight crops → M-12 milling (existing inbound, multiple 1× duplicates)	M-12		into: KEEP M-12 above | reason: dossier confirms this is partly existing; duplicates of the established inbound link; folded
farmersdelight	CUT	farmersdelight:cooking_pot → magic M-19 haunting (1×)	M-19		motif M-19 | reason: soul-fire cooking a farmhouse meal is a tone clash; REJECT
farmersdelight	CUT	farmersdelight cooked meals → bare numismatics sell	M-09		motif M-09 | reason: retired-economy ambient endpoint; CUT
farmersdelight	CUT	farmersdelight:cooking → create M-12 filling (1×)	M-12		motif M-12 | reason: already confirmed existing inbound weave (made-by: create:filling); duplicate of established link; REJECT
farmersdelight	CUT	farmersdelight cooked meals → survival M-12 colony (1×)	M-12		motif M-12 | reason: intra-pillar; both FD and MineColonies sit in survival; not a new anchor; REJECT
farmersdelight	CUT	farmersdelight feast dishes → loot-seed survival M-34 (1×)	M-34		motif M-34 | reason: FD dishes seeded in dungeon loot is tonally weak (Beef Wellington in a spider dungeon); REJECT
farmersdelight	CUT	farmersdelight dishes → bountiful bounty M-34 (1×)	M-34		motif M-34 | reason: FD dishes are kitchen goods, not combat-route supply; M-34 is for combat specialists supplying non-combat players; REJECT
farmersdelight	CUT	farmersdelight:apple_cider → vinery M-35 (2× ACCEPT)	M-35		motif M-35 | reason: FD apple cider feeding Vinery fermentation is a real M-35 maturation link — but FD already has 3 solid anchors (create/survival/economy); a 4th weave into vinery adds complexity without a new pillar; 2× only; flag as a Phase-3 nice-to-have if Vinery is in the pack; CUT for now
farmersdelight	CUT	farmersdelight seasonal bulk → aeronautics M-31 (1×)	M-31		motif M-31 | reason: seasonal farm surplus as bulk cargo requiring aeronautics — thematic but 1× only; the 3-anchor slate is already complete; CUT
farmersdelight	CUT	farmersdelight crops → magic M-12 Agronomic Sourcelink (1×)	M-12		motif M-12 | reason: FD crop farm passively generating Ars Source is ambient coexistence, not a designed recipe weave; REJECT
farmersdelight	CUT	farmersdelight seasonal crops → magic M-16 imbuement (1×)	M-16		motif M-16 | reason: "only works with fresh summer tomatoes" is thematic but 1× only; FD's 3 anchors are complete; CUT
farmersdelight	CUT	farmersdelight:straw → magic M-11 spirit fuel (1×)	M-11		motif M-11 | reason: straw-as-spirit-fuel has no lore fit; occultism rituals fed with bone/soul, not straw; REJECT
farmersdelight	CUT	farmersdelight meals → occultism M-11 spirit_fire (1×)	M-11		motif M-11 | reason: a nourishing meal transmuted by spirit fire → occult reagent is 1× only; FD has 3 anchors; CUT (too thin to add a 4th)
farmersdelight	CUT	farmersdelight stale food → colony composting M-12 (1× Opus)	M-12		motif M-12 | reason: kitchen byproducts composting into fertilizer — interesting loop but 1× only and the composting mechanic is intra-pillar (survival); CUT
fishingreal	LEAVE				pure behavior layer: intercepts rod-reel events and spawns live fish entities instead of drops; adds no items, no recipe types, no materials; all 5 candidate rows are REJECT-consensus confirming no weave surface exists; any weave must be authored on content mods above it
fluid	KEEP	fluid:centrifugal_pump / smart_fluid_interface → aeronautics M-13	M-13	v0.9.0	motif M-13 | delivery: recipe (design — centrifugal_pump + smart_fluid_interface as the required fluid-routing components in an Aeronautics ship fuel system, moving TFMG diesel from tank to engine intake) | milestone: v0.9.0 | why "of course": a ship needs plumbing; the centrifugal pump and smart interface are what move fuel to the engine; 1-ACCEPT opus-corroborated; fits the reagent-ownership table (TFMG diesel is the reserved propulsion fuel)
fluid	KEEP	fluid:aqueduct / copper_tap → survival M-16	M-16	v0.13.0	motif M-16 | delivery: config (Serene Seasons seasonal interaction — aqueduct channels spring meltwater to irrigate seasonal crops; winter frosts the channel; a seasonal-reagent water-routing step) | milestone: v0.13.0 | why "of course": aqueduct as spring irrigation and winter blockage is a natural seasonal-scarcity hook; 3-suggested, 2-ACCEPT
fluid	CUT	fluid:centrifugal_pump / smart_fluid_interface → aeronautics M-24 drivetrain	M-24		reason: these are fluid-logistics parts, not mechanical drivetrain components (rotors/engines); M-24 mismatch; REJECT majority
fluid	CUT	fluid:centrifugal_pump / smart_fluid_interface → aeronautics M-23 structural	M-23		reason: M-23 is structural alloy; fluid interfaces are not load-bearing hull material; REJECT majority
fluid	CUT	fluid:neon_tube → create M-04 crushing	M-04		reason: cosmetic plumbing-mod lighting; low signal; REJECT majority
fluid	CUT	fluid:honeycomb_mold → create M-12 filling (honey fluid)	M-12		reason: the honeycomb_mold is a manufacturing tool, not an ingredient to route through; mixed consensus, insufficient
fluid	CUT	fluid:neon_tube → create M-20 toolbox_dyeing	M-20		reason: neon tubes already made through Create methods; redundant; REJECT ×1
fluid	CUT	fluid:smart_fluid_interface → aeronautics M-23 (flow-gating valve as structural)	M-23		reason: M-23 is structural; a valve is not; REJECT ×1
fluid	CUT	fluid:redstone_valve → create M-20 deployer gate	M-20		reason: valves already made via create:deploying; existing internal weave; REJECT ×1
fluid	CUT	fluid:copper_tap + aqueduct → create M-04 crushing (functional tools)	M-04		reason: M-04 is for deco scrap, not functional plumbing tools; REJECT ×1
fluid	CUT	fluid:smart_fluid_interface → Create fluid networks on ships (no motif)			reason: behavioral integration, no recipe-routing; REJECT ×1
fluid	CUT	fluid:smart_fluid_interface → aeronautics M-24 (fluid interface as drivetrain)	M-24		reason: fluid interface is logistic, not propulsion drivetrain; REJECT ×1
fluid	CUT	fluid:centrifugal_pump → create M-05 (mechanical_crafting gate)	M-05		reason: already covered — the aeronautics KEEP establishes the Create dependency; a separate M-05 flag is redundant; 1-pass ACCEPT insufficient
fluid	CUT	fluid:centrifugal_pump → economy M-31 (bulk logistics at scale)	M-31		reason: M-31 is about bulk *goods* requiring aeronautics; a pump is the equipment, not the good; mixed/1-ACCEPT insufficient
fluid	CUT	fluid:copper_tap / copper_sink → magic/survival (no motif)			reason: no-motif; copper plumbing has no sensible magic or survival angle; REJECT ×1
formations	KEEP	formations generated altars/pedestals → magic (loot-seed magic reagent)	M-02	v0.11.0	motif M-02 | delivery: loot-seed (configure a low-rate magic reagent — Ars source_gem shard or Occultism component — into Formations altar/ruin structure loot; Formations places the structures, the loot table edit gives them a cross-pillar find) | milestone: v0.11.0 | why "of course": an ancient altar in the woods holds a source fragment — discovering magic reagents in ruins grounds the magic pillar in exploration; note: formations has loot=no natively so this requires a custom KubeJS loot injection into the structure's chests
formations	CUT	formations structures → loot-seed economy (M-08, 4-vote, all-REJECT)	M-08		motif M-08 | reason: all-REJECT; formations has no loot tables of its own (loot=no confirmed by dossier); M-08 requires the mint step, not a loot find
formations	CUT	formations scattered altars/ruins → loot-seed economy (M-08, 2-vote opus, all-REJECT)	M-08		motif M-08 | reason: all-REJECT; same — loot=no; no loot tables to seed
formations	CUT	formations structures → loot-seed economy (M-34, 3-vote, mixed)	M-34		motif M-34 | reason: M-34 requires a boss/danger output farmed by a combat specialist; formations has no bosses and no combat drops; the "explorer sells old coin" reading is ambient M-09 (retired)
formations	CUT	formations:template_editor → recipe / Create (no motif, 2 rows)			motif n/a | reason: template_editor is a dev-authoring tool, not a player-facing crafting component; routing it through any method is a design error
formations	CUT	formations structures → loot-seed survival (M-15, 2 rows, REJECT)	M-15		motif M-15 | reason: M-15 is boss-key unlock; formations has no bosses; REJECT is correct
formations	CUT	formations structures → create:crushing (M-04, 2 rows, REJECT)	M-04		motif M-04 | reason: formations adds no blocks of its own (0 blocks, 1 item = template_editor); crushing is not attributable to this mod
formations	CUT	formations structures → loot-seed survival (M-34, 1-REJECT)	M-34		motif M-34 | reason: loot=no confirmed; no loot tables to seed
formations	CUT	formations structures palette → create:crushing (M-04, 1-REJECT)	M-04		motif M-04 | reason: same; formations owns no blocks; CUT
formations	MERGE	formations generated structures altar/ruins magic loot (8-vote + 1-vote + 1-vote rows all ACCEPT for magic loot-seed)	M-02		into: M-02 KEEP | reason: all describe the same altar→magic-reagent loot-seed; keep highest-vote row
formations	MERGE	formations ruins as economy loot (M-34, 1-vote survival)	M-34		into: CUT | reason: the survival M-34 framing (explorer sells finds) is ambient M-09 endpoint; fold into CUT pool
formationsnether	KEEP	formationsnether structure loot→magic reagent loot-seed (M-02, times=15 opus + 10 opus + 1+1)	M-02	v0.11.0	motif M-02 | delivery: loot-seed (datapack — seed Nether-themed occultism ritual items / arcane essences into Formations Nether altar/sanctuary/castle chests) | milestone: v0.11.0 | why "of course": the altar ruins in the Nether are the natural place to find a magic reagent; exploring structure loot feeds the magic web without forcing a recipe; the mod registers zero items — the only viable weave method is a loot-table edit, which is exactly what this is; highest-times rows across two passes with opus corroboration
formationsnether	CUT	formationsnether loot→numismatics coins or sellable rarities M-08 (times=11+7 REJECT)	M-08		motif M-08 | reason: seeding raw minted coin into loot is an NPC coin faucet — contradicts the player-run ruling; M-14 cut; REJECT majority across both passes
formationsnether	CUT	formationsnether loot→boss-key loot-seed M-15 (times=4+3 REJECT)	M-15		motif M-15 | reason: M-15 requires a boss drop to gate a complex recipe; seeding a "boss-key item" into a generic structure chest (no boss in formationsnether) is a motif stretch; REJECT majority
formationsnether	CUT	formationsnether loot→combat-route supply M-34 (times=4+3 ACCEPT)	M-34		motif M-34 | reason: the combat-route supply angle is real (dangerous Nether structure content as trade good) but the mod registers no items of its own; the loot-table edit that creates M-34 value is indistinguishable from the M-02 magic-reagent KEEP; duplicating the link as two separate keeps for a no-item mod creates ambiguity; fold the combat-supply value into the magic-reagent loot-seed implementation note
formationsnether	CUT	formationsnether structures→aeronautics hull M-23 (times=2 REJECT)	M-23		motif M-23 | reason: Nether ruin aesthetics and airship hull material have no plausible narrative bridge; forced drop with no thematic grounding; REJECT majority
formationsnether	CUT	formationsnether loot→regional-scarcity M-30 (times=2 REJECT)	M-30		motif M-30 | reason: M-30 is specifically about ore-gen regional locking; applying it to dungeon loot is a motif stretch; REJECT majority
formationsnether	CUT	formationsnether loot→TFMG fuel canisters M-13 (times=1 REJECT)	M-13		motif M-13 | reason: tone clash — Nether campsites (pre-industrial ruins) dropping modern diesel canisters breaks narrative coherence; REJECT
formationsnether	CUT	formationsnether altar/sanctuary→loot-seed boss-unlock key M-15 survival (times=2 REJECT)	M-15		motif M-15 | reason: same as M-15 boss-key CUT above; seeding a boss-key into a non-boss structure is a motif misuse; all-REJECT
formationsnether	CUT	formationsnether nether_shrine→loot-seed survival M-34 (times=1 REJECT)	M-34		motif M-34 | reason: "survival food in a Nether shrine" is tonally odd and no-method; REJECT
formationsnether	CUT	formationsnether structure loot→M-08 coin (blank, times=1 REJECT, opus)	M-08		motif M-08 | reason: same as the coin-faucet CUT; raw minted coin in loot is an NPC faucet; REJECT
formationsnether	MERGE	nether structure loot→occultism/Ars reagent drop (M-02, times=10+1+1+1 lower)	M-02		into: kept M-02 KEEP | reason: all express the same "seed magic reagents into Nether structure loot" link; kept row is highest-times and opus-corroborated
formationsnether	MERGE	Nether structure loot→boss-key component Create M-30 (times=1 ACCEPT)	M-30		into: CUT (M-15 chain) | reason: this variant proposes seeding a regionally-scarce alloy shard into a castle — closer to M-15/M-34 territory than M-30; fold into the M-15 CUT rationale
formationsnether	MERGE	formationsnether Nether castle→Create-processed intermediate M-34 (times=1 ACCEPT)	M-34		into: kept M-02 KEEP | reason: "whoever built those Nether outposts used Create-grade machinery" is a narrative flavor note for the same loot-table edit; the fabricated parts as loot is an implementation option within the M-02 structure-loot weave
formationsnether	MERGE	formationsnether structure chests→magic reagents datapack (M-02, times=1 ACCEPT)	M-02		into: kept M-02 KEEP | reason: same link, lower times_suggested
formationsnether	MERGE	formationsnether loot→combat-route supply M-34 variants	M-34		into: CUT (with implementation note) | reason: combat-supply value is real and should be noted in the M-02 KEEP implementation (dangerous structure → rare loot → trade good), but not a separate anchor for a no-item mod
freefbible	LEAVE				freefbible:freef_bible + supplementaries:antique_book is a pure flavor/no-method link; the single candidate is a REJECT with no-motif; the mod is a zero-content cosmetic item
friendsandfoes	KEEP	friendsandfoes:crab_claw → magic (occultism:spirit_fire / ars_nouveau:imbuement)	M-02	v0.11.0	motif M-02 | delivery: recipe (occultism:spirit_fire transmutes crab claw into a reaching-essence reagent; or ars_nouveau:imbuement with Source — the claw already brews a reach-extension potion natively, so threading it into the arcane economy is the "of course" step) | milestone: v0.11.0 | why "of course": the crab's reach-extending claw is already a brewing reagent; routing it into the arcane web is the simplest cross-mod enrichment the mod has; 31-vote opus ACCEPT
friendsandfoes	KEEP	friendsandfoes copper deco (copper buttons / weathered lightning rods) → create:crushing (M-04 recycle)	M-04	v0.7.0	motif M-04 | delivery: recipe (create:crushing: copper_button / weathered_lightning_rod → copper_nuggets + experience_nugget; lossy but standard) | milestone: v0.7.0 | why "of course": oxidized copper items crush back to nuggets — nothing is wasted in the workshop; standard Create deco-recycle motif
friendsandfoes	CUT	friendsandfoes:crab_claw → ars_nouveau:imbuement (M-10, 11-vote, REJECT-dominant)	M-10		motif M-10 | reason: REJECT-dominant; M-02 spirit_fire already covers the mob-drop→magic route more cleanly; stacking M-10 adds a redundant second magic method on the same item
friendsandfoes	CUT	friendsandfoes:copper_golem_head → create:crushing (M-04, 16-vote, REJECT-dominant)	M-04		motif M-04 | reason: REJECT-dominant; copper_golem_head is absorbed under the copper-deco KEEP; no separate entry needed
friendsandfoes	CUT	friendsandfoes Wildfire / Iceologer / Illusioner drops → occultism:spirit_fire (M-02, 7-vote mixed)	M-02		motif M-02 | reason: dossier does not identify unique named drops from Wildfire/Illusioner; their drops are generic vanilla-style (blaze rods, evoker fangs); routing those same drops that are already used elsewhere would doubly handle standard vanilla items; CUT pending dossier confirmation of a unique drop item
friendsandfoes	CUT	friendsandfoes crab_claw / Wildfire / Illusioner → ars_nouveau:imbuement / spirit_fire (M-02, 4-vote opus, REJECT)	M-02		motif M-02 | reason: deliberate vanilla-like mob design; the opus REJECT verdict correctly notes this reads as forced; fold into CUT
friendsandfoes	CUT	friendsandfoes:wildfire / iceologer / illusioner drops → occultism:spirit_fire (M-02, 3-vote)	M-02		motif M-02 | reason: same unconfirmed-unique-drop problem; duplicate of 7-vote row; fold
friendsandfoes	CUT	friendsandfoes:wildfire / illusioner drops → mob loot → magic (M-02, 1-REJECT)	M-02		motif M-02 | reason: REJECT; vanilla-style drops; fold
friendsandfoes	CUT	friendsandfoes:crab_claw → occultism:spirit_fire (M-11, 6-vote, split)	M-11		motif M-11 | reason: imbuement (M-02/M-10) is already accepted for this drop in the M-02 KEEP; duplicating with spirit_fire on the same item without adding a second pillar creates a method-split on one item with no new anchor value
friendsandfoes	CUT	friendsandfoes:crab_claw → create:haunting (M-19, 1-REJECT)	M-19		motif M-19 | reason: REJECT; haunting a crab claw has no clear thematic product
friendsandfoes	CUT	friendsandfoes beehive variants → farmersdelight:cutting or create:milling (M-12, 2-vote mixed)	M-12		motif M-12 | reason: beehive→wax/honey via cutting is vanilla behavior extended; doesn't add a cross-system connection
friendsandfoes	CUT	friendsandfoes:copper_golem_head → create:pressing (M-15, 2-REJECT)	M-15		motif M-15 | reason: all-REJECT; copper golem is not a boss; its head is a flavor trophy, not a boss-key
friendsandfoes	CUT	friendsandfoes:wildfire/iceologer/illusioner drops → combat supply trade (M-34, 2-vote + multiple 1-vote rows)	M-34		motif M-34 | reason: M-34 requires confirmed unique drops that a combat specialist farms; Wildfire/Iceologer/Illusioner drops are unconfirmed as unique items in dossier; CUT pending dossier verification of named drops
friendsandfoes	CUT	friendsandfoes:buttercup → ars_nouveau:imbuement (M-02, 1-REJECT; M-07, 1-REJECT; M-10, 1-REJECT)	M-02		motif M-02/M-07/M-10 | reason: all-REJECT; buttercup is a simple decorative flower with no unusual properties; forcing it into arcane systems is a tone-clash
friendsandfoes	CUT	friendsandfoes:moobloom → create:milling (M-12, 1-REJECT)	M-12		motif M-12 | reason: Moobloom drops flowers when sheared; milling flowers is already vanilla/Create behavior; no cross-mod value
friendsandfoes	CUT	friendsandfoes:copper_golem_head → ars_nouveau:imbuement or occultism:ritual (M-02, M-11, 1-REJECT each)	M-02		motif M-02/M-11 | reason: all-REJECT; golem head in arcane ritual has no thematic anchor; tone-clash
friendsandfoes	MERGE	friendsandfoes:crab_claw (31-vote opus + 6-vote + 2-vote + 1-vote rows, all M-02 magic)	M-02		into: M-02 KEEP | reason: all describe the crab claw → spirit_fire/imbuement magic route; keep the highest-vote opus row
friendsandfoes	MERGE	friendsandfoes copper deco (5-vote opus + 2-vote + 1-vote + 1-vote rows)	M-04		into: M-04 KEEP | reason: all describe the same copper-deco→crushing→nuggets recycle; fold into the 21-vote top row
friendsandfoes	MERGE	friendsandfoes:wildfire/illusioner → M-34 combat supply (4 rows)	M-34		into: CUT | reason: pending dossier confirmation of unique named drops; all fold into CUT; re-evaluate in Phase 3 if drops are confirmed
friendsandfoes	MERGE	friendsandfoes wooden beehives → minecolonies beekeeper hut (M-28, 1 vote)	M-28		into: CUT | reason: beehive variety for a colony apiary is a passive palette enhancement, not a routable weave with a demand-gate; fold into CUT
friendsandfoes	MERGE	friendsandfoes:crab_claw → ars_nouveau:potion_flask (M-10, 1 vote)	M-10		into: M-02 KEEP | reason: the potion-flask route is a delivery variant of the claw's magic use; fold into the M-02 KEEP (the spirit_fire / imbuement route subsumes it)
fxntstorage	KEEP	fxntstorage hardened_backpack→create (sequenced-assembly)	M-06	v0.7.0	motif M-06 | delivery: recipe (create:sequenced_assembly for the top-tier hardened backpack; multi-stage chain through derpack:incomplete_* parts) | milestone: v0.7.0 | why "of course": the top-tier hardened backpack is the pack's highest-capacity portable storage; depth scales with power — flagship item earns a sequenced-assembly chain (3+3 times_suggested; ACCEPT consensus, matching phrasing)
fxntstorage	KEEP	fxntstorage hardened-tier→economy (colony cheaper-basics)	M-28	v0.9.0	motif M-28 | delivery: config (MineColonies settlement's storage hut produces hardened crates more cheaply than hand-crafting) | milestone: v0.9.0 | why "of course": the colony's bulk-production route makes the hardened tier accessible to players who can't or won't run the full Create chain themselves — creates genuine trade pressure (2 times_suggested; ACCEPT)
fxntstorage	CUT	fxntstorage backpack_flight_upgrade→aeronautics M-24 (times_suggested=11 REJECT)	M-24		reason: consensus REJECT (8 REJECT); the flight upgrade is a worn Curios gadget for personal lift; it does not feed an Aeronautics airframe/drivetrain; M-24 wrong target; personal mobility ≠ ship propulsion
fxntstorage	CUT	fxntstorage backpack_flight_upgrade→aeronautics M-23 (times_suggested=5 REJECT)	M-23		reason: consensus REJECT; wearable backpack is not a structural airframe component; tone clash
fxntstorage	CUT	fxntstorage backpack_flight_upgrade (no-motif, times_suggested=2 REJECT)			reason: no-motif; personal flight has no approved motif connecting it to the aeronautics pillar; correctly rejected
fxntstorage	CUT	fxntstorage storage_controller→aeronautics M-31 (times_suggested=2)	M-31		motif M-31 | reason: single ACCEPT pair; the storage controller is a passive item-routing block; M-31 requires goods that genuinely need aeronautics/logistics movement; a routing block is not a "bulk good"; no-method fit; threshold not met
fxntstorage	CUT	fxntstorage hardened_backpack→magic M-05 (times_suggested=1 REJECT)	M-05		reason: REJECT; "hardened" connotes physical reinforcement; arcane liner is a tone mismatch
fxntstorage	CUT	fxntstorage brass_backpack→aeronautics M-23 (times_suggested=1)	M-23		motif M-23 | reason: single ACCEPT; outfitting crew with backpacks is emergent behavior; not a structural airframe material; threshold not met
fxntstorage	CUT	fxntstorage storage_controller→create M-05 (times_suggested=1 REJECT)	M-05		reason: REJECT; already has create:mechanical_crafting as inbound weave; storage_controller gating on a brass component is double-gating
fxntstorage	CUT	fxntstorage backpack auto-feeder→survival M-12 (times_suggested=1 REJECT)	M-12		reason: REJECT; auto-feeder accepts any food item the player loads; no specific food recipe surfaces here
fxntstorage	CUT	fxntstorage backpack→aeronautics M-23 (times_suggested=1 REJECT)	M-23		reason: REJECT; wearable gadget not airframe material
fxntstorage	CUT	fxntstorage storage_controller routing→economy (no-motif, times_suggested=1 REJECT)			reason: no-motif; storage routing as logistics has no approved motif; correctly rejected
fxntstorage	CUT	fxntstorage hardened_storage_box→create M-06 (times_suggested=1 REJECT)	M-06		reason: REJECT; hardened tier is already at the top of the Create-material ladder; wrapping boxes in sequenced-assembly is double-gating functional containers
fxntstorage	CUT	fxntstorage storage_controller→aeronautics M-24 (times_suggested=1 REJECT)	M-24		reason: REJECT; M-24 is drivetrain/propulsion/control; a storage-routing block is not a propulsion component; category error
fxntstorage	CUT	fxntstorage hardened boxes/backpacks→aeronautics M-23 (times_suggested=1 REJECT)	M-23		reason: REJECT; storage containers are not structural airframe materials
fxntstorage	CUT	fxntstorage backpack_flight_upgrade→aeronautics M-20 (times_suggested=1 REJECT)	M-20		reason: REJECT; M-20 is deploy-application upgrade; the flight upgrade is worn Curios gear not a deployed resource
fxntstorage	CUT	fxntstorage backpack tiers→economy M-26 (times_suggested=1 REJECT)	M-26		reason: REJECT; backpacks are durable items not consumed goods; M-26 requires spending against pressure
fxntstorage	CUT	fxntstorage backpack_flight_upgrade→aeronautics M-29 (times_suggested=1)	M-29		motif M-29 | reason: single ACCEPT; "flight backpack requires airship propeller component" is a cross-route idea but the backpack is personal gear, not the aeronautics loop; single-pass, no corroboration; threshold not met
fxntstorage	CUT	fxntstorage storage_controller→colony M-28 (times_suggested=1 REJECT)	M-28		reason: REJECT; the colony already has a citizen_grid storage bridge; second storage-network link would double-up with no distinct demand
fxntstorage	CUT	fxntstorage M-37 backpack-modules (times_suggested=1)	M-37		motif M-37 | reason: single ACCEPT; research-gating backpack modules is plausible but the two KEEPs already give the mod two anchors; third weave not needed
fxntstorage	CUT	fxntstorage backpack_flight→aeronautics sequenced M-06 (times_suggested=1)	M-06		reason: single ACCEPT; the flight upgrade is personal mobility; routing it through sequenced-assembly and calling it an aeronautics anchor is the same category error as M-24/M-23 above
fxntstorage	MERGE	fxntstorage brass_backpack M-06 (times_suggested=2 mixed)	M-06		into: KEEP hardened_backpack M-06 | reason: near-duplicate; the brass tier is intermediate; the KEEP targets the hardened (top) tier; absorbed
fxntstorage	MERGE	fxntstorage storage boxes→aeronautics M-31 (times_suggested=1)	M-31		into: KEEP hardened-tier M-28 | reason: "bulk storage boxes on a ship" is a thematic tie absorbed by the colony-cheaper-basics economy anchor; not a separate aeronautics weave
galosphere	KEEP	galosphere deco blocks→create M-04	M-04	v0.7.0	motif M-04 | delivery: recipe (create:crushing — allurite/lumiere bricks, pink salt blocks, crystal deco sets; lossy; XP nugget byproduct) | milestone: v0.7.0 | mis-placed crystal bricks feed back into the crusher for a gravel return and XP nugget — standard deco-recycle
galosphere	KEEP	galosphere:allurite_shard / lumiere_shard→magic M-07	M-07	v0.11.0	motif M-07 | delivery: recipe (existing reserved role; confirm not displaced by future updates) | milestone: v0.11.0 | the shards already gate magic conversions as attunement catalysts — this is galosphere's established magic anchor; record to prevent future accidental override
galosphere	KEEP	galosphere palladium ore→create M-03	M-03	v0.7.0	motif M-03 | delivery: recipe (create:crushing — raw_palladium / deepslate_palladium_ore yields crushed palladium + byproduct nugget; vanilla smelt path stays) | milestone: v0.7.0 | regional palladium ore feeds the Create crushing chain for ore-doubling — the standard tech spine extension for a secondary metal (⚠ galosphere:silver_ingot = PALLADIUM, tagged c:ingots/palladium, never c:ingots/silver)
galosphere	KEEP	galosphere palladium→economy M-08	M-08	v0.9.0	motif M-08 | delivery: recipe (Create-processed palladium → numismatics mint; player presses coin from the scarce cave metal) | milestone: v0.9.0 | scarce regional palladium, once crushed and smelted in Create's arc furnace, mints into Numismatics coins — the Crystal Canyon region's mint specialisation
galosphere	MERGE	galosphere:silver_ingot / raw palladium / deepslate_palladium_ore→create M-03 (4× Opus + 2× + 2× + 1×)	M-03		into: galosphere palladium ore→create M-03 | reason: all M-03 palladium crushing rows; consolidate under 13× ACCEPT dominant
galosphere	MERGE	palladium ingot→economy M-08 (5× + 3× Opus + 2× + 2× Opus + 1× + 1×)	M-08		into: galosphere palladium→economy M-08 | reason: all M-08 palladium coin-mint rows; consolidate under 10× ACCEPT dominant
galosphere	MERGE	galosphere allurite/lumiere bricks deco M-04 (3× + 1× Opus + 1× Opus)	M-04		into: galosphere deco blocks→create M-04 | reason: same deco-crush motif; subsets of the 20× Opus ACCEPT dominant row
galosphere	MERGE	palladium as coin metal M-30 (1×Opus + 1× + 1×)	M-30		into: galosphere palladium→economy M-08 | reason: M-30 regional scarcity is the underlying reason palladium has value as M-08 coin; the mint-KEEP already implies regional scarcity; no separate anchor needed (M-30 is the foundation, M-08 is the expression); absorbed as delivery context
galosphere	CUT	galosphere:silver_ingot unified as c:ingots/silver (2× REJECT + 1×)			motif (none) | reason: CLAUDE.md hard guardrail — galosphere:silver_ingot is PALLADIUM (c:ingots/palladium); never unify as silver; hard cut
galosphere	CUT	amber preservation→magic M-10 (6× REJECT dominant + 1×)	M-10		motif M-10 | reason: amber preservation encases, not refines; no arcane valence; REJECT majority; the 1× ACCEPT (amber as stable reagent in magic) is a stretch without established motif; amber M-29 cross-route also cut (1× ACCEPT) — same reasoning, single pass
galosphere	CUT	galosphere:preserved_transform_recipe→magic M-11 / M-29 (1× + 1× ACCEPT)	M-11		motif M-11/M-29 | reason: preserved_transform_recipe is Galosphere's own type; routing spirit_trade or cross-route through it would require authoring new content; single-pass; no method surface established
galosphere	CUT	galosphere:silver_ingot→magic M-10 (2× REJECT)	M-10		motif M-10 | reason: palladium's reserved role is M-08; routing into arcane infusion would double-spend the reagent; REJECT confirmed
galosphere	CUT	galosphere:allurite/lumiere shards→create M-19 (1×)	M-19		motif M-19 | reason: shards are RESERVED M-07 attunement catalysts; routing through haunting risks conflicting with reserved role; REJECT
